sample_id,split,image,actual,predicted,confidence,reviewer,assessment,visual_observation,assessment_reason,image_sha256,previous_human_tag,human_tag,review_note,tag_review_status
cifar10_train_4025,Validation,errors/cifar10_train_4025.png,cat,dog,0.7119657397270203,AI visual review,시각적 가설로 가능,밝은 둥근 얼굴과 갈색 몸통이 보이고 귀·주둥이 세부가 뭉개져 있다.,작은 얼굴에서 고양이와 개를 구별하는 특징이 약해 유사성 가설은 가능하다.,7b4b9be890d2761d8fb852cc249a6a18abc81dc506b23ac6537de32d77f674bf,class_similarity,class_similarity,밝은 둥근 얼굴과 갈색 몸통이 보이고 귀·주둥이 세부가 뭉개져 있다. 귀·얼굴 또는 전신 자세에서 다른 클래스와 비슷하게 읽힐 여지가 있어 유사성 가설로 분류. 실제 모델 판단 근거는 미확인.,ai_draft_pending_human_review
cifar10_train_47823,Validation,errors/cifar10_train_47823.png,cat,dog,0.8709502816200256,AI visual review,수치상 타당·원인 설명 아님,갈색 동물이 실내 물건 사이에 있고 얼굴과 배경의 경계가 흐리다.,오답 클래스 점수 0.870950 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,6dd3f7f3ea871bd51ac5fb9109829321ab34fcebfdfadccd87111cccd2af0127,high_confidence_error,background_clutter,갈색 동물이 실내 물건 사이에 있고 얼굴과 배경의 경계가 흐리다. 배경의 물건·색·무늬와 피사체 경계가 섞이는 점을 우선 기록. 모델이 배경을 사용했는지는 미확인.,ai_draft_pending_human_review
cifar10_train_43254,Validation,errors/cifar10_train_43254.png,cat,dog,0.8513617515563965,AI visual review,수치상 타당·원인 설명 아님,몸을 낮춘 어두운 동물의 옆모습이며 얼굴이 작고 몸통 무늬와 섞인다.,오답 클래스 점수 0.851362 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,a50c015f9c974c8db823822f903fe7f8b6589210b9441234a5078ddd23c07ab2,high_confidence_error,low_resolution,몸을 낮춘 어두운 동물의 옆모습이며 얼굴이 작고 몸통 무늬와 섞인다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_14485,Validation,errors/cifar10_train_14485.png,cat,dog,0.46878188848495483,AI visual review,시각적 근거 부족·재검토,흰색과 검은색 피사체 주변에 여러 색의 물건이 겹쳐 윤곽이 불명확하다.,클래스 간 유사성보다 배경 혼잡과 세부 식별의 어려움이 직접 관찰된다.,9bb334a6d0a275a9c45f5b7e0a0d14fbe62dca81daf554a1f73b4e68f7bc3f16,class_similarity,background_clutter,흰색과 검은색 피사체 주변에 여러 색의 물건이 겹쳐 윤곽이 불명확하다. 배경의 물건·색·무늬와 피사체 경계가 섞이는 점을 우선 기록. 모델이 배경을 사용했는지는 미확인.,ai_draft_pending_human_review
cifar10_train_48443,Validation,errors/cifar10_train_48443.png,cat,deer,0.8980385065078735,AI visual review,시각적 근거 부족·재검토,갈색 피사체가 녹색 풀 위에 서 있고 몸통이 배경보다 어둡다.,어두운 털색·대비와 조명 부족을 구분하기 어렵다. 낮은 전체 밝기만으로 조명 원인을 확정하기 어렵다.,0ef1522b80cfb076cc3df287bbd7773c14cbf99a2fc89d028d87861c6584ad5b,dark_lighting,low_resolution,갈색 피사체가 녹색 풀 위에 서 있고 몸통이 배경보다 어둡다. 어두운 몸과 작은 얼굴에서 구별 세부가 부족함. 털색과 배경 대비의 영향을 조명 부족으로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_43339,Validation,errors/cifar10_train_43339.png,cat,dog,0.9768683910369873,AI visual review,수치상 타당·원인 설명 아님,밝은 바닥 위 작은 전신이며 얼굴을 구성하는 픽셀이 적다.,오답 클래스 점수 0.976868 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,015407cd7952348ae3c05e9f02ddc756030d8d7a6c123904775f097326a5d234,high_confidence_error,low_resolution,밝은 바닥 위 작은 전신이며 얼굴을 구성하는 픽셀이 적다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_11386,Validation,errors/cifar10_train_11386.png,cat,dog,0.9998072981834412,AI visual review,수치상 타당·원인 설명 아님,어두운 배경 앞 얼굴과 흰 가슴이 보이며 뾰족한 귀 윤곽이 남아 있다.,오답 클래스 점수 0.999807 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,5615162f0709a271bf87e1fccb8ab5dba71e7854c6c52db2e564254c007c29d2,high_confidence_error,model_limitation,어두운 배경 앞 얼굴과 흰 가슴이 보이며 뾰족한 귀 윤곽이 남아 있다. 사람이 클래스를 구별할 형태 단서가 남아 있는데 모델이 오분류한 사례로 분류. 원인은 미확인이고 특정 특징을 학습하지 못했다고 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_32172,Validation,errors/cifar10_train_32172.png,cat,dog,0.6842833161354065,AI visual review,시각적 가설로 가능,갈색·흰색 몸이 둥글게 말려 있고 얼굴과 몸통의 경계가 불분명하다.,자세와 작은 얼굴 때문에 고양이·개 구별이 어려울 가능성이 있다.,16ba512bb8fd68fa5d7c4f683b9d0fdddd9cbe0021035b3d6fcc08361c038161,class_similarity,class_similarity,갈색·흰색 몸이 둥글게 말려 있고 얼굴과 몸통의 경계가 불분명하다. 귀·얼굴 또는 전신 자세에서 다른 클래스와 비슷하게 읽힐 여지가 있어 유사성 가설로 분류. 실제 모델 판단 근거는 미확인.,ai_draft_pending_human_review
cifar10_train_47667,Validation,errors/cifar10_train_47667.png,cat,dog,0.6083481907844543,AI visual review,시각적 근거 부족·재검토,파란 배경 앞 전신과 위로 든 긴 꼬리가 보이고 얼굴은 작다.,고양이 형태를 읽을 단서가 남아 있다. 개와 닮은 구체적인 특징은 약하다.,43fb9b03490e9bbffc8d1b5d3183cd963ab9523d8ecd4c605be06b36a8c64656,class_similarity,model_limitation,파란 배경 앞 전신과 위로 든 긴 꼬리가 보이고 얼굴은 작다. 사람이 클래스를 구별할 형태 단서가 남아 있는데 모델이 오분류한 사례로 분류. 원인은 미확인이고 특정 특징을 학습하지 못했다고 단정하지 않음.,ai_draft_pending_human_review
cifar10_train_17024,Validation,errors/cifar10_train_17024.png,cat,dog,0.9598528146743774,AI visual review,수치상 타당·원인 설명 아님,갈색 피사체가 비슷한 색의 바닥·가구 앞에 있어 몸과 배경의 대비가 낮다.,오답 클래스 점수 0.959853 > 0.8로 태그 정의에 맞는다. 다만 이미지에서 확인한 오분류 원인은 아니다.,155d5b2e1f8b8e684cd9df022ca555c7e75f0a7ed2564498d01df724ca138bc6,high_confidence_error,background_clutter,갈색 피사체가 비슷한 색의 바닥·가구 앞에 있어 몸과 배경의 대비가 낮다. 배경의 물건·색·무늬와 피사체 경계가 섞이는 점을 우선 기록. 모델이 배경을 사용했는지는 미확인.,ai_draft_pending_human_review
cifar10_train_38229,Validation,errors/cifar10_train_38229.png,cat,dog,0.7286877036094666,AI visual review,시각적 근거 부족·재검토,회색 바닥의 흰색·검은색 작은 덩어리 형태로 얼굴 방향도 불명확하다.,닮았다는 판단에 필요한 형태 자체가 부족하다. 세부 식별 불가로 기록하는 편이 적절하다.,7eb12803562fc6cf095531b358de0a1d5534d75dbe741f59ede8b0ca7f9e7ac0,class_similarity,low_resolution,회색 바닥의 흰색·검은색 작은 덩어리 형태로 얼굴 방향도 불명확하다. 32×32 이미지에서 얼굴·몸의 구별에 필요한 세부를 충분히 읽기 어려워 분류. 촬영 흔들림이나 조명 부족을 별도로 단정하지 않음.,ai_draft_pending_human_review
